+---------------------+--------------+--------------------+-----------------------+---------------------+
|      Timestamp      | Altitude (m) |   Pressure (hPa)   |    Wind Speed (m/s)   |   Tarp Area (sq m)  |
+---------------------+--------------+--------------------+-----------------------+---------------------+
| 2025-03-11 14:50:43 |    10.315    | 1008.1876831054688 |  0.03267410397529602  | 0.14089908012851757 |
| 2025-03-11 14:50:05 |    10.077    | 1008.1434936523438 |  0.011574938893318176 |  0.6388833491044397 |
| 2025-03-11 14:50:42 |    10.307    | 1008.1625366210938 |  0.07411450147628784  |  0.1664688347416386 |
| 2025-03-11 14:49:58 |    9.923     | 1008.2693481445312 |  0.01165914535522461  |   1.65946569451749  |
| 2025-03-11 14:50:49 |    10.248    | 1008.1475830078125 |   0.0896245539188385  | 0.15741395687664927 |
| 2025-03-11 14:50:39 |    10.264    | 1008.1487426757812 |  0.050856053829193115 | 0.16452897907295147 |
| 2025-03-11 14:50:44 |    10.234    | 1008.2007446289062 |  0.005336888134479523 | 0.13937865735181257 |
| 2025-03-11 14:50:54 |    10.074    |   1008.220703125   |  0.014896012842655182 | 0.14767151619858668 |
| 2025-03-11 14:50:53 |    10.306    | 1008.3030395507812 |  0.18407966196537018  | 0.14950475615379347 |
| 2025-03-11 14:50:51 |    10.349    | 1008.1614379882812 |  0.05514930188655853  | 0.15273097444103803 |
| 2025-03-11 14:50:15 |    10.379    | 1008.0637817382812 |  0.039863139390945435 | 0.13554112485324746 |
| 2025-03-11 14:50:13 |    10.313    |  1008.1396484375   |  0.015817537903785706 | 0.14481628241035885 |
| 2025-03-11 14:50:36 |    10.114    | 1008.2208251953125 |  0.08433732762932777  | 0.19059351624045637 |
| 2025-03-11 14:50:09 |    10.264    |     1008.15625     |  0.01801964081823826  | 0.18563160899752568 |
| 2025-03-11 14:50:03 |    10.005    | 1008.2491455078125 |  0.054142631590366364 |         None        |
| 2025-03-11 14:50:40 |    10.265    | 1008.1959838867188 |  0.012753896415233612 | 0.14667432851906917 |
| 2025-03-11 14:50:56 |    10.054    | 1008.2919311523438 |  0.06947331875562668  | 0.15483159592664467 |
| 2025-03-11 14:50:19 |    10.209    | 1008.2055053710938 |  0.13884392008185387  | 0.16257156260666392 |
| 2025-03-11 14:50:01 |    10.091    | 1008.3114013671875 |  0.09002282842993736  |  0.8839621225472946 |
| 2025-03-11 14:49:56 |    9.718     | 1008.3446655273438 |  0.06501290202140808  |  2.576804248626127  |
| 2025-03-11 14:50:21 |    10.127    | 1008.2110595703125 |  0.07064846623688936  | 0.16394062457380826 |
| 2025-03-11 14:50:30 |    10.261    | 1008.1912231445312 |  0.12934012711048126  | 0.16353796019023917 |
| 2025-03-11 14:50:22 |    10.153    | 1008.2719116210938 |  0.12105389684438705  |  0.1558722437766994 |
| 2025-03-11 14:50:50 |    10.307    | 1008.0263061523438 |  0.12966301664710045  |  0.132201143949752  |
| 2025-03-11 14:50:31 |    10.242    | 1008.2949829101562 |  0.11379632353782654  |  0.4234277404734059 |
| 2025-03-11 14:50:25 |    10.202    | 1008.184814453125  |  0.13149883225560188  |         None        |
| 2025-03-11 14:50:02 |    10.042    | 1008.2348022460938 |  0.09924892708659172  |  1.0544191560718268 |
| 2025-03-11 14:50:14 |    10.273    | 1008.0724487304688 |  0.008912637829780579 | 0.14352019894290935 |
| 2025-03-11 14:50:32 |    10.191    | 1008.3181762695312 | 0.0033833086490631104 | 0.18014733198196914 |
